,0
183,'11240';'Graz/Flughafen';'340';'2021-02-03';'15:00';'8.5';'°C';'2021-02-03 15:10:09'
184,'11240';'Graz/Flughafen';'340';'2021-02-03';'16:00';'9.4';'°C';'2021-02-03 16:10:08'
185,'11240';'Graz/Flughafen';'340';'2021-02-03';'17:00';'8.2';'°C';'2021-02-03 17:10:11'
186,'11240';'Graz/Flughafen';'340';'2021-02-03';'18:00';'5.2';'°C';'2021-02-03 18:10:09'
187,'11240';'Graz/Flughafen';'340';'2021-02-03';'19:00';'6.2';'°C';'2021-02-03 19:10:10'
188,'11240';'Graz/Flughafen';'340';'2021-02-03';'20:00';'4.1';'°C';'2021-02-03 20:10:09'
189,'11240';'Graz/Flughafen';'340';'2021-02-03';'21:00';'5.6';'°C';'2021-02-03 21:10:10'
190,'11240';'Graz/Flughafen';'340';'2021-02-03';'22:00';'4.6';'°C';'2021-02-03 22:10:08'
191,'11240';'Graz/Flughafen';'340';'2021-02-03';'23:00';'4.5';'°C';'2021-02-03 23:10:09'
192,'11240';'Graz/Flughafen';'340';'2021-02-04';'00:00';'2.1';'°C';'2021-02-04 00:10:15'
193,'11240';'Graz/Flughafen';'340';'2021-02-04';'01:00';'2.9';'°C';'2021-02-04 01:10:10'
194,'11240';'Graz/Flughafen';'340';'2021-02-04';'02:00';'3.1';'°C';'2021-02-04 02:10:08'
195,'11240';'Graz/Flughafen';'340';'2021-02-04';'03:00';'1.1';'°C';'2021-02-04 03:10:11'
196,'11240';'Graz/Flughafen';'340';'2021-02-04';'04:00';'0.4';'°C';'2021-02-04 04:10:09'
197,'11240';'Graz/Flughafen';'340';'2021-02-04';'05:00';'0.4';'°C';'2021-02-04 05:10:09'
198,'11240';'Graz/Flughafen';'340';'2021-02-04';'06:00';'-0.4';'°C';'2021-02-04 06:10:09'
199,'11240';'Graz/Flughafen';'340';'2021-02-04';'07:00';'-1.1';'°C';'2021-02-04 07:10:10'
200,'11240';'Graz/Flughafen';'340';'2021-02-04';'08:00';'-0.9';'°C';'2021-02-04 08:10:08'
201,'11240';'Graz/Flughafen';'340';'2021-02-04';'09:00';'2.2';'°C';'2021-02-04 09:10:08'
202,'11240';'Graz/Flughafen';'340';'2021-02-04';'10:00';'6.0';'°C';'2021-02-04 10:10:08'
203,'11240';'Graz/Flughafen';'340';'2021-02-04';'11:00';'10.1';'°C';'2021-02-04 11:10:08'
204,'11240';'Graz/Flughafen';'340';'2021-02-04';'12:00';'14.7';'°C';'2021-02-04 12:10:09'
205,'11240';'Graz/Flughafen';'340';'2021-02-04';'13:00';'15.8';'°C';'2021-02-04 13:10:09'
206,'11240';'Graz/Flughafen';'340';'2021-02-04';'14:00';'16.0';'°C';'2021-02-04 14:10:09'
207,'11240';'Graz/Flughafen';'340';'2021-02-04';'15:00';'15.3';'°C';'2021-02-04 15:10:09'
208,'11240';'Graz/Flughafen';'340';'2021-02-04';'16:00';'12.7';'°C';'2021-02-04 16:10:10'
209,'11240';'Graz/Flughafen';'340';'2021-02-04';'17:00';'10.6';'°C';'2021-02-04 17:10:08'
210,'11240';'Graz/Flughafen';'340';'2021-02-04';'18:00';'8.4';'°C';'2021-02-04 18:10:10'
211,'11240';'Graz/Flughafen';'340';'2021-02-04';'19:00';'7.0';'°C';'2021-02-04 19:10:09'
212,'11240';'Graz/Flughafen';'340';'2021-02-04';'20:00';'6.4';'°C';'2021-02-04 20:10:09'
213,'11240';'Graz/Flughafen';'340';'2021-02-04';'21:00';'6.0';'°C';'2021-02-04 21:10:08'
214,'11240';'Graz/Flughafen';'340';'2021-02-04';'22:00';'5.6';'°C';'2021-02-04 22:10:09'
215,'11240';'Graz/Flughafen';'340';'2021-02-04';'23:00';'5.9';'°C';'2021-02-04 23:10:17'
216,'11240';'Graz/Flughafen';'340';'2021-02-05';'00:00';'5.5';'°C';'2021-02-05 00:10:09'
217,'11240';'Graz/Flughafen';'340';'2021-02-05';'01:00';'3.4';'°C';'2021-02-05 01:10:10'
218,'11240';'Graz/Flughafen';'340';'2021-02-05';'02:00';'2.9';'°C';'2021-02-05 02:10:10'
